node,centrality,label,period,log_centrality
0011429000,0.003490215137525423,California State University-San Bernardino,Historic,-5.657791900677622
4306488000,0.0022255139540796717,4306488000,Historic,-6.107767399440549
0036616000,0.01604794459140425,University of Texas at El Paso,Historic,-4.132174500447714
5300001411,0.00841154651472454,University of Maryland,Historic,-4.778149931923833
4000592000,0.011665725324099837,American Geological Institute,Historic,-4.451100195921892
0016105000,0.07012846015696368,University of Hawaii,Historic,-2.657426573654788
4038063000,0.007064087138286171,Fred Hutchinson Cancer Research Center,Historic,-4.952731480212085
0015743000,0.009716916106936997,Georgia State University,Historic,-4.633886983800369
0020990000,0.006017015047083559,Towson University,Historic,-5.113163981985281
0035063000,0.0030948527170816466,Meharry Medical College,Historic,-5.778014961350543
0031005000,0.014371995664382513,Ohio University,Historic,-4.242473711402041
0015727000,0.004456826577061374,Georgia Southern University,Historic,-5.413318296014505
0023234000,0.0015537749487774775,University of Detroit Mercy,Historic,-6.4670678581307115
0291666000,0.0011299592837439615,0291666000,Historic,-6.785573678992049
0036343000,0.0011304215691034672,Texas State Technical College,Historic,-6.78516464582813
0033712000,0.041796931296838695,Temple University,Historic,-3.1749323560975897
0011718000,0.00820272871181934,Harvey Mudd College,Historic,-4.8032884103334315
0023267000,0.01894910369885007,University of Michigan Dearborn,Historic,-3.965998646786014
0014282000,0.007473428485751474,Delaware State University,Historic,-4.8964014178279465
0020834000,0.001897758840157244,Morgan State University,Historic,-6.267081646847581
0071043000,0.011515119768693818,Miami University Oxford Campus,Historic,-4.464094344661207
0019505000,0.004821834413168282,Wichita State University,Historic,-5.334600839678342
0036913000,0.002841479821092488,Middlebury College,Historic,-5.863430298750647
0001057000,0.1070453695947963,Carnegie-Mellon University,Historic,-2.234502519484509
0029785000,0.02120651946772509,Wake Forest University,Historic,-3.8534466225168837
0036137000,0.0260379358249278,Southern Methodist University,Historic,-3.648200734179767
6250005721,0.0034275300710317627,6250005721,Historic,-5.675915373106988
4007944000,0.008420019436253248,National Center For Atmospheric Research,Historic,-4.77714314238695
4000545000,0.0011447519333339917,4000545000,Historic,-6.772567317558444
0030775000,0.006857818934071849,Miami University,Historic,-4.982365827437538
0031450000,0.00278068499659119,Youngstown State University,Historic,-5.885057979979985
0036152000,0.017055393929642303,Texas State University - San Marcos,Historic,-4.071288765773917
5300005042,0.0038328023244525874,SPACE SCIENCE INSTITUTE,Historic,-5.564159065932232
0015941000,0.00022960451767327353,Spelman College,Historic,-8.379152217435115
0098418000,0.007482854491901501,University of North Florida,Historic,-4.89514094322846
4000093000,0.006381933132385407,International Computer Science Institute,Historic,-5.054284228713817
0027011000,0.011423958746683945,Colgate University,Historic,-4.472042484501027
4084086000,6.336199230391081e-05,Meteorological Standards Institute,Historic,-9.66664636676195
4087616000,1.2945849207976916e-06,4087616000,Historic,-13.55732043867227
4005864000,0.003331974265126961,New York Botanical Garden,Historic,-5.7041902782587
4004651000,0.007700001158470619,Los Angeles County Museum of Natural History Foundation,Historic,-4.86653479967178
0019489001,0.06243016264027384,University of Kansas Center for Research Inc,Historic,-2.7737067447497146
4000840000,0.011885467856726185,American Physical Society,Historic,-4.432438813633357
4013165000,0.0022814248080531953,American Bar Foundation,Historic,-6.08295511538156
0021055000,0.039770263504733734,University of Maryland Baltimore County,Historic,-3.224635794068276
4001459000,0.0022564281038327263,Association Computing Machinery,Historic,-6.093972201011718
0018929000,0.0616327997261077,University of Iowa,Historic,-2.7865610870646673
0011411000,0.0032468732314616653,California State University-Dominguez Hills Foundation,Historic,-5.730062828366211
0002261000,0.003043125912069245,University of Houston - Downtown,Historic,-5.79487003131267
0023887000,0.018262453159500956,University of Minnesota Duluth,Historic,-4.002908066754552
0039172000,0.005047396628334145,University of Wisconsin-Eau Claire,Historic,-5.2888826877623005
0033258000,0.007842357282129177,Millersville University,Historic,-4.848215816072145
0012740000,2.3087385580442467e-05,San Diego City College,Historic,-10.676224168360564
0020297000,0.03326818653485039,Tulane University,Historic,-3.4031536979561143
0018259001,0.010716374051707908,Purdue Research Foundation,Historic,-4.535982422001179
0020107010,0.005318770003925751,Louisiana State University Agricultural Center,Historic,-5.236513204629545
0029975000,0.010968490377972982,North Dakota State University Fargo,Historic,-4.5127286278407475
0035238000,0.009824809499535432,Tennessee Technological University,Historic,-4.6228445107750495
0034140000,0.03312994060010035,University of Rhode Island,Historic,-3.407317855605826
5300002795,0.0005330006926774448,Farnet Inc,Historic,-7.536987834216826
4004263000,0.0054674867218618495,Educause,Historic,-5.2089362339738035
4091109000,0.0006487225791946122,NYSERNet Inc,Historic,-7.3405053915148555
5300011474,0.01998588052117788,INTERNET2,Historic,-3.9127292286862025
0010124000,0.003307768474791018,Birmingham Southern College,Historic,-5.711481493752834
4000733000,0.0031754269239714556,4000733000,Historic,-5.75231319143401
